"","VariableName","ChiSquared","PValue"
"2","yearOfRegistration",1205.47706193997,7.5038851525614e-245
"3","gender",856.125148736337,3.38806450645744e-188
"4","ageBroad",1313.23552972021,4.2834680069879e-277
"5","majorityStatus",734.723531097888,2.86294074792873e-160
"6","majorityStatusAtExploit",26.5717117605502,1.69834573067282e-06
"7","majorityEntry",328.684753627417,4.23655263971308e-72
"8","meansOfControlDebtBondage",369.695428606196,5.26814458508178e-81
"9","meansOfControlTakesEarnings",581.371956388225,5.71062580725769e-127
"10","meansOfControlRestrictsFinancialAccess",347.675677856716,3.18556013202512e-76
"11","meansOfControlThreats",479.378798087494,8.02078037393507e-105
"12","meansOfControlPsychologicalAbuse",538.680128366481,1.06437917728393e-117
"13","meansOfControlPhysicalAbuse",467.22977606915,3.48612725428949e-102
"14","meansOfControlSexualAbuse",350.543703048612,7.59280156716287e-77
"15","meansOfControlFalsePromises",562.309861686153,7.8698231848235e-123
"16","meansOfControlPsychoactiveSubstances",355.586510183905,6.10056970806441e-78
"17","meansOfControlRestrictsMovement",513.264371005066,3.51607360111776e-112
"18","meansOfControlRestrictsMedicalCare",454.585828469094,1.94062477823241e-99
"19","meansOfControlExcessiveWorkingHours",549.704943363068,4.29623680438639e-120
"20","meansOfControlUsesChildren",345.593390459639,9.02295456674224e-76
"21","meansOfControlThreatOfLawEnforcement",421.982636218864,2.33149675631245e-92
"22","meansOfControlWithholdsNecessities",461.94238970767,4.90325631541024e-101
"23","meansOfControlWithholdsDocuments",516.475490364818,7.05947245706568e-113
"24","meansOfControlOther",347.675677856716,3.18556013202512e-76
"25","meansOfControlNotSpecified",686.084774572629,1.04372032933883e-149
"26","isForcedLabour",514.075533265215,2.34377712200612e-112
"27","isSexualExploit",416.297774642393,4.00024712820103e-91
"28","isOtherExploit",401.048408352272,8.19303175760655e-88
"29","isSexAndLabour",51.9137823453926,5.79919236647144e-13
"30","isForcedMarriage",36.4813907089584,1.54130776540214e-09
"31","isForcedMilitary",51.9137823453926,5.79919236647144e-13
"32","isOrganRemoval",51.9137823453926,5.79919236647144e-13
"33","isSlaveryAndPractices",336.271517590684,4.13885992393338e-75
"34","typeOfLabourAgriculture",109.043662920343,2.09637732491432e-24
"35","typeOfLabourAquafarming",6.99069092370916,0.00819347195592701
"36","typeOfLabourBegging",6.99069092370916,0.00819347195592701
"37","typeOfLabourConstruction",519.705337283606,1.40417068190643e-113
"38","typeOfLabourDomesticWork",105.617777928309,1.16249455512908e-23
"39","typeOfLabourHospitality",58.5918011945921,1.89213460355395e-13
"40","typeOfLabourIllicitActivities",6.99069092370916,0.00819347195592701
"41","typeOfLabourManufacturing",17.7272874176801,0.000141438762438639
"42","typeOfLabourMiningOrDrilling",6.99069092370916,0.00819347195592701
"43","typeOfLabourPeddling",6.99069092370916,0.00819347195592701
"44","typeOfLabourTransportation",6.99069092370916,0.00819347195592701
"45","typeOfLabourOther",8.11083223493938,0.0173282680879598
"46","typeOfLabourNotSpecified",56.1871403481522,6.29676515990445e-13
"47","typeOfSexProstitution",7.56944678720452,0.00593660029017728
"48","typeOfSexPornography",9.47882429520067,0.00207857132444647
"49","typeOfSexRemoteInteractiveServices",9.47882429520067,0.00207857132444647
"50","typeOfSexPrivateSexualServices",9.47882429520067,0.00207857132444647
"51","isAbduction",0.774033343830303,0.378972190019651
"52","recruiterRelationFriend",91.1824756691412,1.31015436297798e-21
"53","recruiterRelationFamily",0.419930026546636,0.516971961718889
"54","recruiterRelationOther",81.902447079933,1.42972168347531e-19
"55","recruiterRelationUnknown",184.689491292633,4.58759455762463e-42
